Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
485,0,0,0,5335,7010,50000000,9
486,0,0,0,21735,40660,50000000,10
495,0,0,0,5635,16025,50000000,19
585,0,0,0,6360,10010,50000000,109
586,0,0,0,4935,7750,50000000,110
587,0,0,0,8875,12285,50000000,111
588,0,0,0,7060,11100,50000000,112
589,0,0,0,196150,317150,50000000,113
590,0,0,0,59610,76525,50000000,114
591,0,0,0,8150,30075,50000000,115
592,0,0,0,210535,317385,50000000,116
593,0,0,0,73475,319985,50000000,117
594,0,0,0,89685,223235,50000000,118
496,0,0,0,3985,14150,50000000,20
595,0,0,0,1300,9450,50000000,119
596,0,0,0,133575,298285,50000000,120
597,0,0,0,8810,54860,50000000,121
598,0,0,0,49700,264485,50000000,122
599,0,0,0,201750,455535,50000000,123
600,0,0,0,2500,41235,50000000,124
601,0,0,0,6360,11100,50000000,125
602,0,0,0,63425,221585,50000000,126
603,0,0,0,10300,39485,50000000,127
604,0,0,0,98360,442200,50000000,128
497,0,0,0,13235,121585,50000000,21
605,0,0,0,385,5950,50000000,129
606,0,0,0,78410,384235,50000000,130
607,0,0,0,6060,42910,50000000,131
608,0,0,0,57635,201225,50000000,132
609,0,0,0,165160,222525,50000000,133
610,0,0,0,4610,20635,50000000,134
611,0,0,0,6910,14950,50000000,135
612,0,0,0,93910,253850,50000000,136
613,0,0,0,106710,317660,50000000,137
614,0,0,0,6850,14175,50000000,138
498,0,0,0,147150,211360,50000000,22
615,0,0,0,81335,198685,50000000,139
616,0,0,0,2110,13375,50000000,140
617,0,0,0,27460,249250,50000000,141
618,0,0,0,1300,8300,50000000,142
619,0,0,0,4025,10210,50000000,143
620,0,0,0,40900,114110,50000000,144
621,0,0,0,2075,7125,50000000,145
622,0,0,0,19985,116400,50000000,146
623,0,0,0,1835,2885,50000000,147
624,0,0,0,6235,34485,50000000,148
499,0,0,0,14725,34660,50000000,23
625,0,0,0,76725,173435,50000000,149
626,0,0,0,17425,40460,50000000,150
627,0,0,0,74225,360785,50000000,151
628,0,0,0,1085,10150,50000000,152
629,0,0,0,2960,11125,50000000,153
630,0,0,0,8660,16925,50000000,154
631,0,0,0,22835,67885,50000000,155
632,0,0,0,9860,43385,50000000,156
633,0,0,0,5825,12500,50000000,157
634,0,0,0,3550,6150,50000000,158
500,0,0,0,34125,114885,50000000,24
635,0,0,0,1100,10150,50000000,159
636,0,0,0,5950,8125,50000000,160
637,0,0,0,42110,154710,50000000,161
